iter	MAE
146	0.1908632072
147	0.1903362831
148	0.1896104823
149	0.1891758276
150	0.1888543937
151	0.188415935
152	0.1879214101
153	0.1875048381
154	0.1871772184
155	0.1867213723
156	0.1862830493
157	0.1858863411
158	0.1852991207
159	0.1847524347
160	0.1842819704
161	0.1838547187
162	0.1833362722
163	0.1827724706
164	0.1823975679
165	0.1820408004
166	0.1815684807
167	0.1811351749
168	0.1805574845
169	0.1803043126
170	0.180004747
171	0.1796673195
172	0.1792527631
173	0.1789272218
174	0.1785210611
175	0.1780987521
176	0.1777196146
177	0.1773398429
178	0.1769049211
179	0.1762574026
180	0.1756939372
181	0.1752513204
182	0.174981965
183	0.1746667126
184	0.1743619537
185	0.1739608331
186	0.1735391952
187	0.1729831398
188	0.1724361246
189	0.1720289329
190	0.1714641439
191	0.1710913908
192	0.1707689011
193	0.1702819055
194	0.1699189848
195	0.1696098412
196	0.1692587168
197	0.1684157208
198	0.1680419579
199	0.1675943895
200	0.1674237891
201	0.1667878651
202	0.1663175111
203	0.1657419883
204	0.1654216018
205	0.164998685
206	0.1646511775
207	0.1642471948
208	0.1639872308
209	0.163518187
210	0.163076695
211	0.1626397092
212	0.1621616615
213	0.1618455033
214	0.1613544882
215	0.1606832033
216	0.1603554722
217	0.1600797247
218	0.159579896
219	0.1590722729
220	0.158779317
221	0.1584413537
222	0.1580699441
223	0.1577760398
224	0.1572924815
225	0.1568149294
226	0.1564543795
227	0.1558751553
228	0.1554584989
229	0.1551180468
230	0.1548070982
231	0.1545003215
232	0.1542211944
233	0.1533063296
234	0.1528491933
235	0.1525314828
236	0.1522051182
237	0.1516969778
238	0.1513307945
239	0.1508084736
240	0.150526791
241	0.150208007
242	0.1497185312
243	0.1494826518
244	0.1491492687
245	0.148822242
246	0.1484571785
247	0.1481885727
248	0.1479223351
249	0.1475963029
250	0.1474575771
251	0.1470928143
252	0.1467802348
253	0.1462867991
254	0.145834518
255	0.1454634604
256	0.1449670354
257	0.1446583718
258	0.1443863745
259	0.1441529878
260	0.1438865783
261	0.1437014033
262	0.1433427023
263	0.143112848
264	0.1429589654
265	0.1427323581
266	0.1423631419
267	0.1420694184
268	0.1415457733
269	0.1411424013
270	0.1407746031
271	0.1403706559
272	0.140170616
273	0.1397049316
274	0.1395350593
275	0.1391819643
276	0.1389197193
277	0.1384986867
278	0.1381342322
279	0.1377856662
280	0.1375929746
281	0.1373055018
282	0.137067273
283	0.1367076586
284	0.1363727979
285	0.1361695483
286	0.1358108687
287	0.1354141656
288	0.1350196195
289	0.1348219745
290	0.1346026467
291	0.1344617301
292	0.1340830429
293	0.1337590342
294	0.1334952245
295	0.133235168
296	0.1329045021
297	0.1326729931
298	0.13243005
299	0.1322474719
300	0.1318275613
301	0.1315268807
302	0.1312753094
303	0.1310628689
304	0.1305903012
305	0.1303882795
306	0.1301679475
307	0.1300661774
308	0.1295689018
309	0.1291739716
310	0.1290101979
311	0.128606119
312	0.1285383193
313	0.1283089327
314	0.1280998405
315	0.1276429114
316	0.1274157963
317	0.1272652552
318	0.1271072807
319	0.1268962496
320	0.1266331208
321	0.1263987913
322	0.1261407225
323	0.1259327681
324	0.1257744726
325	0.1255169076
326	0.125145607
327	0.1247882233
328	0.1244397469
329	0.1241719383
330	0.1238661907
331	0.1235441019
332	0.1234098659
333	0.1233056407
334	0.1230663322
335	0.1228607326
336	0.1226357976
337	0.1224460082
338	0.1223285598
339	0.1220995538
340	0.121909578
341	0.1217807081
342	0.1216299247
343	0.121492933
344	0.1211031015
345	0.1209246249
346	0.120697688
347	0.1204609918
348	0.120278201
349	0.1201081027
350	0.1198744662
351	0.1197203521
352	0.1195592146
353	0.1194066548
354	0.1192538346
355	0.1190758552
356	0.1188408342
357	0.1187234141
358	0.1185739839
359	0.1183489404
360	0.1182086716
361	0.1180680532
362	0.1179959103
363	0.1177036295
364	0.1175717396
365	0.1173349317
366	0.1171311742
367	0.1170251298
368	0.1168289015
369	0.1165766817
370	0.1163904943
371	0.1161187692
372	0.1158479932
373	0.1156841159
374	0.1154681394
375	0.1152550268
376	0.1150688108
377	0.114898874
378	0.1147678766
379	0.1145473039
380	0.1143659883
381	0.1142922165
382	0.1139604248
383	0.1136291702
384	0.1134066597
385	0.1132812264
386	0.1130274875
387	0.112874684
388	0.1126483761
389	0.1124627013
390	0.1122914918
391	0.1121256274
392	0.1120121188
393	0.1119323409
394	0.1118457693
395	0.1116017704
396	0.111363693
397	0.111165624
398	0.1110146896
399	0.1108489074
400	0.1107803196
401	0.1105169955
402	0.1104104205
403	0.110315762
404	0.1101089099
405	0.1099416438
406	0.1097069851
407	0.1094820033
408	0.1093625109
409	0.1091111815
410	0.1088650487
411	0.1086806105
412	0.1083591627
413	0.1082523612
414	0.1081051421
415	0.1078275918
416	0.1076555525
417	0.1074969843
418	0.107377678
419	0.1071706586
420	0.1070842209
421	0.1068897167
422	0.1067001696
423	0.1065706604
424	0.1065362463
425	0.1064212298
426	0.1063185551
427	0.1062567141
428	0.1061151959
429	0.1059433036
430	0.1058305888
431	0.1056769923
432	0.1056227586
433	0.1054148038
434	0.1052575112
435	0.1050813493
436	0.1048745758
437	0.1047496369
438	0.1045687692
439	0.104427245
440	0.1043670514
441	0.1042511423
442	0.1041436471
443	0.1040049803
444	0.1039123877
445	0.1037333612
446	0.1036228446
447	0.1033356779
448	0.1032194679
449	0.1030375801
450	0.1030072214
451	0.1028834532
452	0.1026828435
453	0.1025285889
454	0.1024234517
455	0.1023084356
456	0.1021362141
457	0.1020813792
458	0.101905548
459	0.1017963562
460	0.1017016711
461	0.1015639166
462	0.101474292
463	0.1012938819
464	0.1011806148
465	0.1010467316
466	0.1009235757
467	0.1007579833
468	0.1006063323
469	0.1004854866
470	0.1004005215
471	0.1002855624
472	0.1001696259
473	0.1001238756
474	0.1000193967
475	0.09990907114
476	0.09980076135
477	0.09962618502
478	0.09950669889
479	0.09927085945
480	0.09919308973
481	0.09906301528
482	0.09889813132
483	0.09874187405
484	0.09859753208
485	0.09840520002
486	0.09818673895
487	0.09803155804
488	0.09784169761
489	0.09767355197
490	0.09755824145
491	0.09743981187
492	0.09734305857
493	0.09719899887
494	0.09703150387
495	0.0968944874
496	0.09675126105
497	0.09663348996
498	0.09651628735
499	0.09635797146
500	0.09625508657
501	0.09607547215
502	0.09603974425
503	0.09597001539
504	0.09578602201
505	0.09561152215
506	0.09544582035
507	0.09531538889
508	0.09521981139
509	0.09513782671
510	0.09495091438
511	0.09479154416
512	0.09471136398
513	0.09462818778
514	0.09453111335
515	0.09439121555
516	0.0941999727
517	0.09408897337
518	0.09389717096
519	0.09386433038
520	0.09374061935
521	0.09365101523
522	0.0935090186
523	0.09340445264
524	0.09330970315
525	0.09323504038
526	0.09311962231
527	0.09298046954
528	0.09285898437
529	0.09267012833
530	0.09257431064
531	0.09251092215
532	0.09235593429
533	0.09217902866
534	0.09203914413
535	0.09188167268
536	0.09173766222
537	0.09167095344
538	0.09148291361
539	0.09140025753
540	0.09126711878
541	0.09119359166
542	0.09107361526
543	0.09099889759
544	0.0908869133
545	0.09076537717
546	0.09072796555
547	0.09052869656
548	0.09033135157
549	0.09029684755
550	0.09015545776
551	0.09000029577
552	0.08986085936
553	0.08971917991
554	0.08961437213
555	0.08956364693
556	0.0894652302
557	0.08936820796
558	0.08915413477
559	0.08903244682
560	0.08888825271
561	0.08875908998
562	0.08867063998
563	0.08856145844
564	0.08846468219
565	0.08838480334
566	0.08828990984
567	0.08824702082
568	0.0881840358
569	0.08799221987
570	0.08792146527
571	0.0878922957
572	0.08769604875
573	0.08759493454
574	0.08740449263
575	0.08729310899
576	0.08718240572
577	0.08703081387
578	0.08692772336
579	0.08687726179
580	0.08679057285
581	0.08676791952
582	0.08667126652
583	0.08661912371
584	0.08647462436
585	0.08642495911
586	0.08630547945
587	0.0862572011
588	0.08615076582
589	0.08605089141
590	0.08594479447
591	0.08588885795
592	0.08584345444
593	0.08574229814
594	0.08569950999
595	0.08559243623
596	0.0854553743
597	0.08535786514
598	0.08520040597
599	0.08507157272
600	0.08503233394
601	0.08495464336
602	0.08488800632
603	0.08485718656
604	0.08475776225
605	0.08466305418
606	0.08449467681
607	0.08438531948
608	0.08425826998
609	0.08418652888
610	0.08410292182
611	0.08402266076
612	0.08395630132
613	0.08388338535
614	0.08371993938
615	0.08367136564
616	0.08355645992
617	0.0834892641
618	0.08340651572
619	0.08329832385
620	0.08319918025
621	0.08308650872
622	0.08303393437
623	0.08288657956
624	0.08275951552
625	0.0826726442
626	0.08250583183
627	0.08243509685
628	0.08231914407
629	0.08218656274
630	0.08211858546
631	0.08195523964
632	0.08185668984
633	0.08168921326
634	0.08161454554
635	0.08159889457
636	0.08155564123
637	0.08150188634
638	0.08140944703
639	0.08137198463
640	0.08123581028
641	0.08120262499
642	0.08114472937
643	0.08110890185
644	0.08106902164
645	0.08100695794
646	0.08092177191
647	0.08087153186
648	0.08082176659
649	0.08071991547
650	0.08066150798
651	0.08060913327
652	0.0804850279
653	0.08039324396
654	0.08031101259
655	0.08018007956
656	0.08007291978
657	0.08000889111
658	0.07994960274
659	0.07988104973
660	0.07980411647
661	0.07970701524
662	0.07963979904
663	0.07957762491
664	0.07951956161
665	0.07943416776
666	0.07933782443
667	0.07923489858
668	0.07909227913
669	0.07895029391
670	0.07887437942
671	0.07881024078
672	0.07873339122
673	0.07863862212
674	0.07856731334
675	0.07847583952
676	0.07837760824
677	0.07834729498
678	0.07830161804
679	0.07824150099
680	0.07815042345
681	0.07799895649
682	0.07792018322
683	0.07785094523
684	0.07771881722
685	0.07765648468
686	0.07759296578
687	0.07751107778
688	0.07741602144
689	0.07732214722
690	0.07728292194
691	0.07722399545
692	0.07716025297
693	0.07702631549
694	0.07691073901
695	0.07684356972
696	0.07679675839
697	0.07676902482
698	0.07668755067
699	0.07666245487
