iter	MAE
0	0.4430804651
1	0.4373192329
2	0.4317419026
3	0.4264222141
4	0.4216564583
5	0.4168894198
6	0.4117358158
7	0.4074168923
8	0.4029120224
9	0.3978635515
10	0.3920512509
11	0.3871178793
12	0.3817205958
13	0.3767498416
14	0.3728443663
15	0.3683128894
16	0.3633574723
17	0.3591300021
18	0.3552045819
19	0.351682596
20	0.3477626093
21	0.3441413696
22	0.3400943129
23	0.3363770099
24	0.3330743132
25	0.3300442911
26	0.3267369565
27	0.3236906147
28	0.3205008278
29	0.3173384027
30	0.3143278584
31	0.3122745268
32	0.3099251763
33	0.3072382556
34	0.3038826192
35	0.3014386759
36	0.2986410741
37	0.2969712714
38	0.2951629853
39	0.2932312465
40	0.291271916
41	0.2887275935
42	0.2869254163
43	0.2846272141
44	0.2827499786
45	0.2805624233
46	0.2789408848
47	0.2769374282
48	0.2750008651
49	0.2733297744
50	0.2714858514
51	0.2697379747
52	0.2678888909
53	0.2658227721
54	0.2645071242
55	0.2627303092
56	0.261219635
57	0.2601769938
58	0.2588267433
59	0.2575529573
60	0.2562215803
61	0.2548188462
62	0.2533620436
63	0.2523864956
64	0.2512869113
65	0.2501965494
66	0.2485870322
67	0.2476280782
68	0.2464757639
69	0.2454309473
70	0.2446129773
71	0.2435357897
72	0.2425011418
73	0.2418098201
74	0.2407915923
75	0.2398885654
76	0.2385896768
77	0.2374100357
78	0.2363657249
79	0.2351271917
80	0.2341559326
81	0.2336153572
82	0.2327399184
83	0.2318800597
84	0.2308920991
85	0.2299846649
86	0.2292964918
87	0.2283507305
88	0.2274994237
89	0.2269020727
90	0.2262868566
91	0.2255195538
92	0.2248687925
93	0.2237148796
94	0.222834707
95	0.2223019164
96	0.2214694707
97	0.2202429854
98	0.2194844758
99	0.2186178108
100	0.217826715
101	0.2170021632
102	0.2160344263
103	0.2152829502
104	0.2147019666
105	0.2140309669
106	0.2136906177
107	0.213252466
108	0.2126467161
109	0.2119515642
110	0.2109864167
111	0.2104876857
112	0.2097622163
113	0.209061041
114	0.2086986467
115	0.2080785648
116	0.2073545552
117	0.206555305
118	0.2059300252
119	0.205242591
120	0.2046715828
121	0.2040071371
122	0.2033794421
123	0.2029620629
124	0.2024243158
125	0.2020076221
126	0.2015482733
127	0.2005769432
128	0.1999873409
129	0.1992815653
130	0.1987988674
131	0.1981747673
132	0.197735151
133	0.1973099452
134	0.196867317
135	0.1964341236
136	0.1960840919
137	0.1954673312
138	0.1950942159
139	0.1944561221
140	0.1939120036
141	0.1931886686
142	0.1927413869
143	0.1924161474
144	0.1918046432
145	0.191358456
